Samples,Author,Area,TAS,LAT,LONG,LATUTM,LONGUTM,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,B,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,Li,Mn,Nb,Ni,Pb,Rb,Sb,Sc,Sr,Ta,Th,TL,U,V,Y,Zn,Zr
,,,ACID,,,,,76.28292399,0.508419906,12.56096239,0.408326038,0.816652076,0.000996902,0.000996902,0.428667764,3.469218185,5.50289781,0.019938036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,80.0429017,0.0739085,13.6241465,0.14147865,0.2829573,0.02081929,0.04163859,0.16863629,0.16863629,5.41405761,0.02081929,37.07,68.52,9.57,35.45,,8.13,0.091,6.72,1.19,7.18,1.62,4.18,0.68,1.18,0.69,,16.9,11.6,,,20.15,,,,,,33.72,,,484.2,,,5.88,5.13,55.36,,7.4,,43.6,,
,,,ACID,,,,,80.5670468,0.07352898,13.2362516,0.11825752,0.23651504,0.01035619,0.11598937,0.01656991,0.01656991,5.58820228,0.02071239,24.66,72.99,6.42,23.65,,5.86,0.102,5.73,1.2,8.05,1.89,5.01,0.84,5.44,0.79,,43.1,10.04,,,13.32,,,,,,35.5,,,498.6,,,8.02,5.34,37.25,,6.42,,56,,
,,,ACID,,,,,80.2265417,0.07413012,13.4290371,0.13347943,0.26695887,0.02088172,0.10545271,0.18375918,0.18375918,5.35511827,0.02088172,67.86,121.5,19.58,78.11,,21.12,0.106,19.82,3.6,22.15,5.04,12.66,2.01,13.18,1.99,,21.8,11.3,,,14.95,,,,,,32.43,,,479.2,,,6.81,4.77,61.9,,8.04,,144,,
,,,ACID,,,,,80.2484462,0.06259792,13.4147341,0.15539272,0.31078543,0.03129896,0.03129896,0.20031334,0.20031334,5.33438604,0.01043299,18.1,35.89,4.25,15.82,,4.24,0.092,3.39,0.65,4.2,0.89,2.24,0.44,3.19,0.46,,13,11.3,,,12.79,,,,,,34.56,,,519.7,,,4.88,5.55,50.83,,7.39,,19,,
,,,ACID,,,,,80.6725022,0.09359965,12.8959524,0.17652241,0.35304481,0.02079992,0.08423969,0.25167907,0.25167907,5.17918088,0.02079992,20.08,50.58,4.18,15.35,,3.39,0.102,3.31,0.62,4.51,1.12,3.09,0.52,3.63,0.57,,34.3,9.85,,,11.19,,,,,,25.17,,,398.6,,,8.89,3.38,38.32,,7.06,,31.2,,
,,,ACID,,,,,80.2577583,0.07266903,13.2361456,0.16718584,0.33437167,0.02076258,0.08408845,0.18893949,0.18893949,5.4283769,0.02076258,11.78,25.69,2.17,8.15,,2.13,0.059,2.21,0.45,3.14,0.8,2.01,0.33,2.3,0.36,,16,10.03,,,14.01,,,,,,33.03,,,538,,,5.57,4.94,25.6,,6.31,,20.8,,
,,,ACID,,,,,80.1279627,0.06367315,13.6855521,0.15579458,0.31158917,0.02087644,0.04175289,0.15866097,0.15866097,5.26503887,0.01043822,11.7,49.86,2.52,9.85,,3.45,0.08,3.81,0.88,6.25,1.48,4.25,0.75,5.67,0.84,,61.9,11.9,,,13.75,,,,,,32.99,,,74.8,,,10.4,4.98,46.47,,8.34,,31.9,,
,,,ACID,,,,,80.2349098,0.07399437,13.5816146,0.15328493,0.30656985,0.02084348,0.05315089,0.2021818,0.2021818,5.15042505,0.02084348,13.25,59.78,3.12,11.93,,3.29,0.052,3.13,0.56,3.79,0.89,2.37,0.44,3.34,0.48,,61.8,10.06,,,20.78,,,,,,33.71,,,470.5,,,12.1,5.04,44.66,,8.06,,23.4,,
,,,ACID,,,,,81.487488,0.11564315,11.8621221,0.14067793,0.28135587,0.31725113,0.08391804,0.25175412,0.25175412,5.18756768,0.02046781,68.43,124,19.14,3.71,,15.27,0.341,10.86,1.66,9.72,2.01,4.9,0.78,5.1,0.71,,276,4.32,,,10.35,,,,,,19.28,,,262,,,26.8,2.15,33.8,,4.58,,48.8,,
,,,ACID,,,,,81.3936831,0.09513319,11.9661009,0.15080747,0.30161495,0.02068113,0.04239631,0.49427897,0.49427897,5.02034392,0.02068113,50.21,90.07,13.95,56.4,,13.12,0.198,11.11,1.73,10.28,2.28,5.51,0.82,5.55,0.74,,101,6.79,,,10.6,,,,,,20.12,,,265,,,17.2,2.53,33.35,,7.6,,53.9,,
,,,ACID,,,,,82.0317976,0.09510693,11.5368845,0.12895292,0.25790584,0.02067542,0.04238461,0.40213692,0.40213692,5.06134289,0.02067542,46.45,118.1,12.55,48.52,,10.78,0.196,8.89,1.42,8.5,1.84,4.53,0.73,4.88,0.65,,625,5.4,,,11.06,,,,,,20.56,,,275,,,26.5,2.54,33.36,,7.53,,42,,
,,,ACID,,,,,81.1849949,0.07509693,12.6830368,0.19159852,0.38319705,0.02086026,0.04276353,0.21277463,0.21277463,4.97204248,0.02086026,49.22,120,14.67,61.18,,15.74,0.289,14.82,1.01,15.24,1.88,8.2,1.26,8.45,1.19,,71.7,3.5,,,15.86,,,,,,21.85,,,286.3,,,13.2,2.77,35.66,,10.98,,82,,
,,,ACID,,,,,80.0233197,0.09635497,13.4378919,0.1343842,0.26876841,0.02175757,0.04247907,0.66619618,0.66619618,4.63229103,0.01036075,13.33,44.61,3.5,13.43,,4.23,0.073,4.99,2.34,7.24,3.35,5.14,0.86,5.96,0.81,,77.1,10.3,,,18.36,,,,,,29.15,,,432,,,7.77,4.23,35.66,,10.07,,52.3,,
,,,ACID,,,,,76.23490685,0.050346656,12.90888265,0.416689498,0.833378996,0.020138662,0.010069331,0.876031818,3.856553866,4.782932341,0.010069331,9.9,28.8,4.5,21.3,,9.7,6,13.5,2.8,19.9,4.4,13.7,2.1,13.7,1.9,,38,,52,6,,,,7.7,,,103,9,62,416,,,9,11,37.2,,11,5,123.7,186,124
,,,ACID,,,,,75.70522775,0.051076257,13.34111826,0.436818903,0.873637805,0.030645754,0.020430503,0.98066413,3.340387191,5.097410424,0.122583016,11.6,36.7,3.3,12.2,,4.9,0.14,7.6,1.9,15.1,3.5,11.3,1.8,13,1.7,,25,,58,9,,,,9.9,,,104,9,61,429,,,22,11.3,47.8,,7,8,108.3,134,156
,,,ACID,,,,,75.97421649,0.050534932,13.10876131,0.418247744,0.836495488,0.020213973,0.050534932,0.576098223,3.315091527,5.568949486,0.080855891,5.1,19.2,1.5,6.5,,3.3,0.08,4.7,1.1,8.3,1.7,5.4,0.87,5.6,0.75,,5,,56,5,,,,8.5,,,109,6,78,440,,,10,11.7,35.2,,7,12,38.7,99,134
,,,ACID,,,,,77.01151493,0.060638988,12.90599797,0.355493405,0.71098681,0.020212996,0.10106498,0.646815873,3.143120885,5.043142513,0.00101065,27.2,55.4,8.3,32.8,,9.3,0.1,10.4,1.9,11.6,2.5,7.3,1,6.2,0.87,,8,,51,7,,,,6.3,,,39,15,53,698,,,14,5.5,44.7,,8,5,75.7,61,107
,,,ACID,,,,,70.75579725,0.134936717,17.22314453,0.457000272,0.914000544,0.025257645,0.31660564,0.707052213,2.77662135,6.622418936,0.067164903,54.5,107,16.3,62.2,,13.9,0.38,11.55,1.79,10.7,2,5.23,0.8,4.8,0.71,,254,,1,,13.05,2,22.7,5.6,80,,21.6,2,33,315,,8,30.2,2,30.8,,5.17,8,51.3,68,152
,,,ACID,,,,,74.98533492,0.060032662,14.12936801,0.440499587,0.880999174,0.017394338,0.019170094,0.330936354,3.498037623,5.603721073,0.034506169,6.6,16.6,1.25,4,,1.18,0.05,1.4,0.35,2.64,0.61,2.03,0.35,2.59,0.36,,6.8,,,10,5.18,5,42.8,8.9,120,,100.5,2,62,397,,,5.6,9.7,18.25,,6.65,,16.9,130,135
,,,ACID,,,,,76.56301293,0.12259139,12.1243639,0.537980236,1.075960471,0.015472176,0.906766566,2.300879729,0.51969261,5.785623537,0.047656459,20.3,43.1,6.58,27.9,,8.76,0.27,8.11,1.29,7.88,1.55,4.38,0.68,4.28,0.62,,392,,2,,14.15,3,19.2,5,10,,20.4,3,26,248,,7,511,1.9,19.8,10,4.84,11,41.3,97,112
,,,ACID,,,,,77.71993188,0.209447362,12.16931918,0.534852419,1.069704838,0.019085357,0.902974597,2.369106132,0.655057311,4.28725927,0.063261652,60.2,66.1,15.55,58.9,,14.15,0.47,10.85,1.55,8.89,1.65,4.49,0.67,4.22,0.59,,171,,,10,13.75,3,17.2,5.2,20,,17.9,2,19,203,,6,221,1.6,20.9,,4.08,8,45.7,75,158
,,,ACID,,,,,70.43602534,0.132390916,17.40154318,0.525078814,1.050157628,0.039950607,0.3672453,0.761881824,2.782745463,6.449111524,0.053869407,61.7,132,17.85,67.6,,15.3,0.13,12.55,1.99,13.05,2.59,7.24,1.15,7.16,1.01,,21.2,,2,,18.1,2,24.6,4.8,100,,26.1,1,37,407,,10,16,2.5,33.8,10,6.78,,68.7,71,120
,,,ACID,,,,,72.012661,0.132031682,15.89970439,0.518818771,1.037637541,0.040199022,0.262233826,0.986934281,2.432269552,6.62597794,0.051531996,47.2,113.5,13.1,49.6,,11.15,0.11,9.15,1.57,10.2,2.06,6.19,1,6.17,0.91,,34.8,,,,17.35,2,23.2,4.4,90,,24.5,,36,390,,10,158.5,2.4,31.2,10,6.58,,56.3,96,108
,,,ACID,,,,,69.18496247,0.148079382,16.51826526,0.646688593,1.293377186,0.058398933,0.197032923,1.856578265,2.807211337,7.192717326,0.096688321,43.5,107,12.5,46.7,,10.2,0.07,8.92,1.61,10.6,2.22,6.43,1.06,6.61,0.99,,167.5,,1,,20.4,2,23.1,4,100,,25.1,,33,403,,10,117.5,2.5,31,10,5.74,,57.8,75,92
,,,ACID,,,,,67.5768201,0.188863628,18.6288215,0.747439213,1.494878426,0.048629859,0.342378449,1.045314733,2.979399481,6.841509182,0.105945426,60.9,136.5,17.15,66.7,,16.3,0.39,13.6,2.16,12.7,2.51,6.89,1.01,6.64,0.88,,219,,,,13.25,2,21,6,60,,22.8,2,38,349,,8,30.2,2,29.9,,7.68,8,67,70,181
,,,ACID,,,,,76.11042039,0.111082946,13.52767053,0.531382701,1.062765403,0.029306764,0.767482172,2.181265121,0.478347614,5.147020328,0.053256034,52.8,102,16.25,63.4,,14.95,0.38,13.2,2.1,12.9,2.48,6.79,1.1,6.71,0.96,,308,,,,25.5,3,22.3,6.1,30,,19.6,2,25,249,,8,367,2,30.5,,6.63,5,64.8,99,169
,,,ACID,,,,,71.75478038,0.218054468,14.85237015,0.824054036,1.648108072,0.027769848,0.076829576,0.612614778,3.223809448,6.682151286,0.079457956,60.4,102.5,15.45,55.3,,10.95,0.16,8.99,1.47,9.59,1.9,5.3,0.9,5.53,0.82,,70,,,,5.74,4,23.8,8.7,20,,38.4,,35,271,,2,7.8,2.6,27.8,10,4.83,39,47.3,127,251
